customer_id,first_name,last_name,email,phone,gender,birth_date,registration_date,loyalty_points,age,age_group,customer_tenure_days,customer_tenure_months,customer_tenure_years,registration_year,registration_quarter,registration_month,registration_weekday,registered_on_weekend,loyalty_segment,loyalty_tier,is_senior,is_young_customer,is_adult,is_long_term_customer,is_new_customer,loyalty_points_per_year,email_domain
68,Aditya,Gupta,aditya.gupta68@gmail.com,9266702157,Female,1989-06-20,2025-11-10,3127,36,36-45,52,1.7,0.14,2025,4,November,Monday,0,VIP,4,0,0,1,0,1,20846.67,gmail.com
69,Neha,Kapoor,neha.kapoor69@gmail.com,9476311278,Female,1992-04-17,2025-10-23,396,33,26-35,70,2.3,0.19,2025,4,October,Thursday,0,Medium,2,0,0,1,0,1,1980.0,gmail.com
70,Priya,Desai,priya.desai70@gmail.com,9974699185,Female,1980-09-17,2025-11-19,2876,45,36-45,43,1.4,0.12,2025,4,November,Wednesday,0,VIP,4,0,0,1,0,1,22123.08,gmail.com
71,Aditya,Kapoor,aditya.kapoor71@gmail.com,9123057817,Male,2005-03-04,2020-01-06,3025,20,18-25,2187,72.9,5.99,2020,1,January,Monday,0,VIP,4,0,1,0,1,0,504.17,gmail.com
72,Krishna,Gupta,krishna.gupta72@gmail.com,9870363235,Female,1976-11-07,2022-10-21,4594,49,46-60,1168,38.9,3.2,2022,4,October,Friday,0,VIP,4,0,0,0,0,0,1431.15,gmail.com
73,Diya,Patel,diya.patel73@gmail.com,9512629085,Female,1987-02-11,2022-06-09,4886,38,36-45,1302,43.4,3.57,2022,2,June,Thursday,0,VIP,4,0,0,1,0,0,1364.8,gmail.com
74,Ananya,Patel,ananya.patel74@gmail.com,9822170269,Female,1971-06-26,2022-10-14,2822,54,46-60,1175,39.2,3.22,2022,4,October,Friday,0,VIP,4,0,0,0,0,0,873.68,gmail.com
75,Diya,Kapoor,diya.kapoor75@gmail.com,9930746016,Male,1970-03-22,2021-01-24,3022,55,46-60,1803,60.1,4.94,2021,1,January,Sunday,1,VIP,4,0,0,0,0,0,610.51,gmail.com
76,Aarav,Desai,aarav.desai76@gmail.com,9617352570,Female,1996-09-22,2021-06-18,4861,29,26-35,1658,55.3,4.54,2021,2,June,Friday,0,VIP,4,0,0,1,0,0,1068.35,gmail.com
77,Diya,Joshi,diya.joshi77@gmail.com,9301726543,Female,1972-12-17,2020-09-30,4773,53,46-60,1919,64.0,5.26,2020,3,September,Wednesday,0,VIP,4,0,0,0,1,0,905.69,gmail.com
78,Diya,Trivedi,diya.trivedi78@gmail.com,9503615739,Male,1980-02-10,2025-03-16,519,45,36-45,291,9.7,0.8,2025,1,March,Sunday,1,High,3,0,0,1,0,1,640.74,gmail.com
79,Vivaan,Desai,vivaan.desai79@gmail.com,9915984372,Male,1977-07-09,2024-07-19,402,48,46-60,531,17.7,1.45,2024,3,July,Friday,0,Medium,2,0,0,0,0,0,275.34,gmail.com
80,Priya,Desai,priya.desai80@gmail.com,9921078869,Male,1981-01-23,2022-10-22,2111,44,36-45,1167,38.9,3.2,2022,4,October,Saturday,1,VIP,4,0,0,1,0,0,657.63,gmail.com
81,Neha,Shah,neha.shah81@gmail.com,9436186883,Male,1974-08-17,2022-12-12,1624,51,46-60,1116,37.2,3.06,2022,4,December,Monday,0,VIP,4,0,0,0,0,0,528.99,gmail.com
82,Aarav,Joshi,aarav.joshi82@gmail.com,9995131885,Male,1992-03-25,2025-03-25,264,33,26-35,282,9.4,0.77,2025,1,March,Tuesday,0,Medium,2,0,0,1,0,1,338.46,gmail.com
83,Ananya,Kapoor,ananya.kapoor83@gmail.com,9954610598,Female,2004-06-23,2024-10-12,1899,21,18-25,446,14.9,1.22,2024,4,October,Saturday,1,VIP,4,0,1,0,0,0,1543.9,gmail.com
84,Aditya,Joshi,aditya.joshi84@gmail.com,9482996559,Male,1987-07-11,2023-09-08,4248,38,36-45,846,28.2,2.32,2023,3,September,Friday,0,VIP,4,0,0,1,0,0,1823.18,gmail.com
85,Aarav,Gupta,aarav.gupta85@gmail.com,9527684212,Female,1988-05-26,2021-07-22,435,37,36-45,1624,54.1,4.45,2021,3,July,Thursday,0,Medium,2,0,0,1,0,0,97.53,gmail.com
86,Vivaan,Kapoor,vivaan.kapoor86@gmail.com,9270956739,Female,2001-09-13,2022-10-12,1530,24,18-25,1177,39.2,3.22,2022,4,October,Wednesday,0,VIP,4,0,1,0,0,0,473.68,gmail.com
87,Krishna,Joshi,krishna.joshi87@gmail.com,9570191390,Female,1985-11-27,2021-05-05,4270,40,36-45,1702,56.7,4.66,2021,2,May,Wednesday,0,VIP,4,0,0,1,0,0,914.35,gmail.com
88,Riya,Shah,riya.shah88@gmail.com,9812260259,Male,1986-03-04,2020-03-15,2669,39,36-45,2118,70.6,5.8,2020,1,March,Sunday,1,VIP,4,0,0,1,1,0,459.38,gmail.com
89,Arjun,Bhatt,arjun.bhatt89@gmail.com,9127286275,Female,1988-03-23,2021-01-25,2970,37,36-45,1802,60.1,4.94,2021,1,January,Monday,0,VIP,4,0,0,1,0,0,600.0,gmail.com
90,Ananya,Mehta,ananya.mehta90@gmail.com,9711962215,Female,1990-03-07,2020-08-04,3198,35,26-35,1976,65.9,5.41,2020,3,August,Tuesday,0,VIP,4,0,0,1,1,0,590.04,gmail.com
91,Diya,Bhatt,diya.bhatt91@gmail.com,9398950612,Female,1977-03-20,2020-02-04,3599,48,46-60,2158,71.9,5.91,2020,1,February,Tuesday,0,VIP,4,0,0,0,1,0,607.94,gmail.com
92,Neha,Modi,neha.modi92@gmail.com,9848352609,Female,1979-01-20,2024-11-13,3744,46,46-60,414,13.8,1.13,2024,4,November,Wednesday,0,VIP,4,0,0,0,0,0,3284.21,gmail.com
93,Diya,Shah,diya.shah93@gmail.com,9695149256,Female,1988-08-15,2025-03-16,4690,37,36-45,291,9.7,0.8,2025,1,March,Sunday,1,VIP,4,0,0,1,0,1,5790.12,gmail.com
94,Aarav,Joshi,aarav.joshi94@gmail.com,9531968709,Male,2002-07-11,2020-04-19,3741,23,18-25,2083,69.4,5.71,2020,2,April,Sunday,1,VIP,4,0,1,0,1,0,654.02,gmail.com
95,Arjun,Joshi,arjun.joshi95@gmail.com,9650993831,Female,1994-03-03,2026-02-10,3735,31,26-35,-40,-1.3,-0.11,2026,1,February,Tuesday,0,VIP,4,0,0,1,0,1,-37350.0,gmail.com
96,Aditya,Kapoor,aditya.kapoor96@gmail.com,9842085843,Male,1970-12-09,2025-09-29,2801,55,46-60,94,3.1,0.26,2025,3,September,Monday,0,VIP,4,0,0,0,0,1,10374.07,gmail.com
97,Arjun,Gupta,arjun.gupta97@gmail.com,9496071672,Male,1972-08-21,2025-04-05,3648,53,46-60,271,9.0,0.74,2025,2,April,Saturday,1,VIP,4,0,0,0,0,1,4864.0,gmail.com
98,Aditya,Desai,aditya.desai98@gmail.com,9437787572,Female,1983-12-22,2020-07-21,1189,42,36-45,1990,66.3,5.45,2020,3,July,Tuesday,0,VIP,4,0,0,1,1,0,217.77,gmail.com
99,Arjun,Patel,arjun.patel99@gmail.com,9179820107,Female,1988-08-10,2025-05-31,1810,37,36-45,215,7.2,0.59,2025,2,May,Saturday,1,VIP,4,0,0,1,0,1,3016.67,gmail.com
100,Arjun,Modi,arjun.modi100@gmail.com,9548858564,Male,1992-12-24,2021-01-20,1981,33,26-35,1807,60.2,4.95,2021,1,January,Wednesday,0,VIP,4,0,0,1,0,0,399.4,gmail.com
101,Ananya,Patel,ananya.patel101@gmail.com,9796172724,Male,1988-09-28,2023-08-26,1725,37,36-45,859,28.6,2.35,2023,3,August,Saturday,1,VIP,4,0,0,1,0,0,730.93,gmail.com
102,Krishna,Joshi,krishna.joshi102@gmail.com,9698507044,Male,2004-06-14,2022-12-17,3925,21,18-25,1111,37.0,3.04,2022,4,December,Saturday,1,VIP,4,0,1,0,0,0,1286.89,gmail.com
103,Riya,Joshi,riya.joshi103@gmail.com,9855033164,Male,2005-08-17,2026-04-06,3578,20,18-25,-95,-3.2,-0.26,2026,2,April,Monday,0,VIP,4,0,1,0,0,1,-14312.0,gmail.com
104,Aarav,Mehta,aarav.mehta104@gmail.com,9870782513,Female,1987-06-28,2024-04-02,550,38,36-45,639,21.3,1.75,2024,2,April,Tuesday,0,High,3,0,0,1,0,0,312.5,gmail.com
105,Priya,Desai,priya.desai105@gmail.com,9864470800,Female,1977-06-13,2024-10-08,4955,48,46-60,450,15.0,1.23,2024,4,October,Tuesday,0,VIP,4,0,0,0,0,0,3995.97,gmail.com
106,Priya,Mehta,priya.mehta106@gmail.com,9661487628,Male,2005-01-15,2021-09-02,610,20,18-25,1582,52.7,4.33,2021,3,September,Thursday,0,High,3,0,1,0,0,0,140.55,gmail.com
107,Krishna,Patel,krishna.patel107@gmail.com,9767343206,Female,1979-05-26,2021-11-25,3843,46,46-60,1498,49.9,4.1,2021,4,November,Thursday,0,VIP,4,0,0,0,0,0,935.04,gmail.com
108,Diya,Mehta,diya.mehta108@gmail.com,9160406532,Male,1974-08-06,2026-03-17,2652,51,46-60,-75,-2.5,-0.21,2026,1,March,Tuesday,0,VIP,4,0,0,0,0,1,-13260.0,gmail.com
109,Arjun,Modi,arjun.modi109@gmail.com,9846760196,Female,1999-03-17,2020-09-03,3812,26,26-35,1946,64.9,5.33,2020,3,September,Thursday,0,VIP,4,0,0,1,1,0,713.86,gmail.com
110,Diya,Modi,diya.modi110@gmail.com,9526235835,Male,1970-06-20,2020-07-10,4511,55,46-60,2001,66.7,5.48,2020,3,July,Friday,0,VIP,4,0,0,0,1,0,821.68,gmail.com
111,Vivaan,Trivedi,vivaan.trivedi111@gmail.com,9828020351,Female,1990-05-22,2026-03-06,360,35,26-35,-64,-2.1,-0.18,2026,1,March,Friday,0,Medium,2,0,0,1,0,1,-2117.65,gmail.com
112,Diya,Desai,diya.desai112@gmail.com,9981459449,Female,2004-05-14,2025-12-15,4054,21,18-25,17,0.6,0.05,2025,4,December,Monday,0,VIP,4,0,1,0,0,1,67566.67,gmail.com
113,Aditya,Gupta,aditya.gupta113@gmail.com,9366841224,Male,1981-09-24,2023-03-04,2534,44,36-45,1034,34.5,2.83,2023,1,March,Saturday,1,VIP,4,0,0,1,0,0,892.25,gmail.com
114,Aarav,Kapoor,aarav.kapoor114@gmail.com,9279667012,Female,2001-02-26,2022-04-18,1409,24,18-25,1354,45.1,3.71,2022,2,April,Monday,0,VIP,4,0,1,0,0,0,378.76,gmail.com
115,Neha,Mehta,neha.mehta115@gmail.com,9938070936,Female,1985-11-22,2026-02-21,1465,40,36-45,-51,-1.7,-0.14,2026,1,February,Saturday,1,VIP,4,0,0,1,0,1,-11269.23,gmail.com
116,Priya,Patel,priya.patel116@gmail.com,9375173418,Female,1979-06-16,2023-04-04,493,46,46-60,1003,33.4,2.75,2023,2,April,Tuesday,0,Medium,2,0,0,0,0,0,178.62,gmail.com
117,Aarav,Kapoor,aarav.kapoor117@gmail.com,9464998093,Female,1995-02-01,2024-07-24,3039,30,26-35,526,17.5,1.44,2024,3,July,Wednesday,0,VIP,4,0,0,1,0,0,2095.86,gmail.com
118,Aarav,Mehta,aarav.mehta118@gmail.com,9395609104,Male,1986-03-15,2026-02-08,536,39,36-45,-38,-1.3,-0.1,2026,1,February,Sunday,1,High,3,0,0,1,0,1,-5955.56,gmail.com
119,Aarav,Modi,aarav.modi119@gmail.com,9951978422,Male,1994-10-10,2020-03-14,1274,31,26-35,2119,70.6,5.81,2020,1,March,Saturday,1,VIP,4,0,0,1,1,0,218.9,gmail.com
120,Ananya,Gupta,ananya.gupta120@gmail.com,9418223545,Male,1981-05-14,2022-06-16,2654,44,36-45,1295,43.2,3.55,2022,2,June,Thursday,0,VIP,4,0,0,1,0,0,745.51,gmail.com
121,Arjun,Kapoor,arjun.kapoor121@gmail.com,9837948529,Female,1974-11-08,2025-07-09,1875,51,46-60,176,5.9,0.48,2025,3,July,Wednesday,0,VIP,4,0,0,0,0,1,3826.53,gmail.com
122,Neha,Kapoor,neha.kapoor122@gmail.com,9633917723,Male,1971-06-12,2023-03-03,3885,54,46-60,1035,34.5,2.84,2023,1,March,Friday,0,VIP,4,0,0,0,0,0,1363.16,gmail.com
123,Aditya,Modi,aditya.modi123@gmail.com,9920503513,Male,1997-12-27,2021-01-01,3677,28,26-35,1826,60.9,5.0,2021,1,January,Friday,0,VIP,4,0,0,1,1,0,733.93,gmail.com
124,Neha,Patel,neha.patel124@gmail.com,9704829047,Male,1984-12-05,2021-07-29,2628,41,36-45,1617,53.9,4.43,2021,3,July,Thursday,0,VIP,4,0,0,1,0,0,591.89,gmail.com
125,Aditya,Joshi,aditya.joshi125@gmail.com,9836049037,Male,1973-07-21,2020-03-05,4164,52,46-60,2128,70.9,5.83,2020,1,March,Thursday,0,VIP,4,0,0,0,1,0,713.01,gmail.com
126,Priya,Patel,priya.patel126@gmail.com,9146507103,Male,1978-07-09,2020-03-26,1933,47,46-60,2107,70.2,5.77,2020,1,March,Thursday,0,VIP,4,0,0,0,1,0,334.43,gmail.com
